Sr. No.,Name of NPO,Registration No,Registration Type,Address,Primary Sectors,Operational District,Email,Website
81,Amrutha Jnana Charitabale Trust,BK IV-149/2024-25,Trust,"#165, 9th Cross, Near Yellamma Temple, V.Nagenhalli, Hebbal, R.T.Nagar post , Bengaluru North, BENGALURU URBAN (Karnataka) - 560032","Children, Dalit Upliftment, Differently Abled, Aged/Elderly, Health & Family Welfare",BENGALURU URBAN,pandharibt@gmail.com,
82,ANAGHA EDUCATIONAL AND WELFARE TRUST,KDL-4-003 19-2022-23,Trust,"22/65, MIGB, KHB QUARTERS, 5th PHASE, CHS - 249, YELAHANKA NEW TOWN, , Bangalore, BENGALURU URBAN (Karnataka) - 583134","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,anaghaenwtrust@gmail.com,
83,ANANDA SAI CHARITABLE TRUST,IV/234/2022-2023,Trust,"HNO 243 KNo13 Fourth Floor Mahadeshwara Complex, Hosa Road, Beratena Agrahara, Electronics City S.O, BANGALORE, Karnataka, INDIA 560100 , BANGALURU, BENGALURU URBAN (Karnataka) - 560100","Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children, Civic Issues",ALL,anandreddy1123@gmail.com,
84,Anantha Academy For Special Education,AAKTA3760BE2023101,Trust,"74,3rd cross road ,5th block,koramangala,Bengaluru South -560095 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560095","Children, Differently Abled, Education & Literacy, Vocational Training, Skill Development",BENGALURU URBAN,ananthaacademy.blr@gmail.com,https://www.ananthaacademy.com/
85,ANANTHA SEVA TRUST,130/07-08,Trust,"Anantha Seva Trust 4-53 C/O S S RamannorJanatha Colony At Post Kandkaur , Bangalore, BENGALURU URBAN (Karnataka) - 560023","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,astyadagiri@gmail.com,
86,Ananya Foundation,SOR/BLR/DR/803/09-10,Society,"C/o SMS Computech, No. 222, Saraswathi Vidya Mandir Road, Maruthi Layout, Anekal Town, Bangalore – 562106 , Anekal Bangalore, BENGALURU URBAN (Karnataka) - 562106","Animal Husbandry, Dairying & Fisheries, Children, Differently Abled, Drinking Water, Education & Literacy",ALL,ananyafoundation@yahoo.com,
87,Ananya kala niketana(R),1260/09-10,Society,"3/49-1, kalashree, 3rd main, new kempegoeda layout, BSK 3rd stage, kathriguppe, bangalore-85 , bangalore, BENGALURU URBAN (Karnataka) - 560085","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,ananyadance.vybhavi@gmail.com,
88,ANARGHYAA FOUNDATION,BNG(U)YLNK/354/2015-2016,Trust,"J6,003, PROVIDENT WELWORTH CITY, MARASANDRA, DODDABALLAPUR ROAD , BANGALORE, BENGALURU URBAN (Karnataka) - 562163","Agriculture, Art & Culture, Children, Civic Issues, Differently Abled",ALL,anarghyaafoundation@gmail.com,http://www.anarghyaafoundation.com/
89,ANDREWS REHABILITATIONTRU,5961-65,Trust,"No.142/2 Munireddy layout 2nd Main Road, Banasawadi, Bangalore - 560043. , Bengaluru East, BENGALURU URBAN (Karnataka) - 560043","Differently Abled, Aged/Elderly, Health & Family Welfare, Women's Development & Empowerment",ALL,Ossy_28@yahoo.co.in,
90,ANGA KARUNYA KENDRA,S.NO.434/87-88,Society,"No.15, Doddanakundi /Vishweshwariah Industrial Area, 2nd Phase, Mahadevapura Post. , BANGALORE, BENGALURU URBAN (Karnataka) - 560048",Differently Abled,ALL,arudevca@gmail.com,
91,ANGELIC CHARITABLE TRUST,BNG(U)-KNGR/238/2021-22,Trust,"85/99/45/4/11, 79/1, ANGELIC CHARITABLE TRUST JANATHA COLONY THAGACHUGUPPE VLLAGE, KUMBALAGODU , BENGALURU, BENGALURU URBAN (Karnataka) - 560074","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,angelic.charitabletrust@gmail.com,https://angeliccharitabletrust.org/
92,ANJALINA & SIBY FOUNDATION,U88900KA2025NPL204012,Section 8 Company,"A NO8/17 YELLAMMA GARDEN AT HALLI SHANTI NAGAR BANGALORE , Bengaluru South, BENGALURU URBAN (Karnataka) - 560027","Art & Culture, Education & Literacy, Aged/Elderly, Environment & Forests, Health & Family Welfare",ALL,blessyanjalina2@gmail.com,
93,ANK FOUNDATION,YAN-4-00586-2024-25,Trust,"NEW TOWN YELAHANKA , Bengaluru North, BENGALURU URBAN (Karnataka) - 560064","Differently Abled, Education & Literacy, Aged/Elderly, Rural Development & Poverty Alleviation, Women's Development & Empowerment",BENGALURU URBAN,jyothsna.raghu@gmail.com,
94,Anti-corruption Intelligence Council Trust,BK IV 293/18-19,Trust,"No.21 80feet road HMT Layout RT nagar Bangalore 560032 , BANGALORE, BENGALURU URBAN (Karnataka) - 560032","Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management",ALL,anticorruptionintelligence008@gmail.com,
95,ANTOGATTVA FOUNDATION,U85490KA2024NPL186542,Section 8 Company,"ANTOGATTVA FOUNDATION NO 227 2ND BLOCK III STAGE B. NAGAR WSR BANGALORE NORTH BASAVESHWARANAGAR BANGALORE-560079 KARNATAKA , Bangalore, BENGALURU URBAN (Karnataka) - 560079","Education & Literacy, Environment & Forests, New & Renewable Energy, Rural Development & Poverty Alleviation, Science & Technology",ALL,vivtalwar23@gmail.com,
96,ANUGRAH EDUCATIONAL TRUST,JAY-4-00830-2018-19,Trust,"No.3, 21st Main, Near Standard English School, Siddeshwaranagar, Vijayanagar, Bangalore560040 , BANGALORE, BENGALURU URBAN (Karnataka) - 560040","Art & Culture, Children, Differently Abled, Education & Literacy, Aged/Elderly",ALL,naguramesh18@yahoo.com,
97,ANUGRAHA CHARITABLE TRUST,873/2023-24,Trust,"D 306, Pride Pegasus, Sy No. 115/1, Opposite Bible College Kothanur , Bangalore, BENGALURU URBAN (Karnataka) - 560077","Children, Differently Abled, Disaster Management, Education & Literacy, Environment & Forests",ALL,anugrahatrust2023@gmail.com,http://www.anugrahacharitabletrust.org/
98,ANUVEDA RAHAT PRATHISHTHA INDIA,564/2022-23,Trust,"R R Garden Medhalli Cross, Whitefield 8Th Mile Medahhalli Lakkur Road Bengaluru , Bengaluru North, BENGALURU URBAN (Karnataka) - 560048","Art & Culture, Children, Differently Abled, Education & Literacy, Health & Family Welfare",BENGALURU URBAN,kvahets0615@gmail.com,
99,ANVESHANE,BMH-4-00808-2023-24,Trust,"K no 98, 10th A main, ICICI Bank road Hongasandra Bommanahalli Bengaluru-560068 , Bengaluru, BENGALURU URBAN (Karnataka) - 560068","Children, Dalit Upliftment, Differently Abled, Disaster Management, Education & Literacy",ALL,anveshane2024@gmail.com,
100,ANVESHNA FOUNDATION,516/IV/04-05,Trust,"No. 273, 11th Main, Indiranagar 2nd Stage, Bengaluru , Bengaluru North, BENGALURU URBAN (Karnataka) - 560038","Children, Differently Abled, Education & Literacy",MANDYA,officegrg1@gmail.com,
101,AORTA FOUNDATION,AAFTA6956QF20226,Trust,"NO.6, G-2, MATHRU SHRI NILAYA, 8TH CROSS, PRASHANTH NAGAR, BENGALURU-560079 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560079","Health & Family Welfare, HIV/AIDS",BENGALURU URBAN,sahay@aortafoundation.com,
102,Apostolic church of God (Regd),INR-4-00177-2018-19,Trust,"No.488, 2nd Main, RameshNagar, Bangalore-560037 , Bangalore, BENGALURU URBAN (Karnataka) - 560037","Children, Dalit Upliftment, Differently Abled, Education & Literacy, Aged/Elderly",ALL,acog.blr@gmail.com,
103,APPAREL RETAIL TRAINING AND JOB SOLUTIONS,U74999KA2011NPL058867,Trust,"ARTJS, NO 125, 2ND FLOOR, 3RD CROSS, 2ND STAGE, OPP L , BANGALORE, BENGALURU URBAN (Karnataka) - 560076","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,artjs999@gmail.com,http://www.artjs.in/
104,APPU ORPHAN CHILDREN EDUCATIONAL DEVELOPMENT TRUST,BNG(U)-YLNK-396-2022-23,Trust,"No 330 B Block,DS MX Synergy, Yelahanka Satellite Town S.O, Bangalore North, , Bangalore, BENGALURU URBAN (Karnataka) - 560064","Art & Culture, Children, Differently Abled, Education & Literacy, Environment & Forests",ALL,infoappuorphan@gmail.com,https://665ad0c1872b7.site123.me/
105,ARADHANA CHARITABLE TRUST,INR400416201819,Trust,"NO:A23 1ST CROSS SRIRAMANAGARI MURUGESHPALYA OLD AIRPORTROAD , BANGALORE, BENGALURU URBAN (Karnataka) - 560017","Children, Civic Issues, Dalit Upliftment, Differently Abled, Education & Literacy",ALL,Aradhanatrust123@gmail.com,
106,ARIVUBODHI FOUNDATION TRUST,BKIV00001/2025-26,Trust,"No 9, 3rd Floor, 13th Cross, Agrahara Dasarahalli, Bangalore - 560 079 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560079","Children, Education & Literacy, Aged/Elderly, Human Rights, Labour & Employment",BENGALURU URBAN,prakashkariyappa@arivubodhi.org,https://www.arivubodhi.org/
107,ARJUN CHARITABLE TRUST,33/ 2016-17-IV,Trust,"No 6, Nagendra Nilaya, 1st Main, 3rd Cross, Krishnianpalya, , Bengaluru East, BENGALURU URBAN (Karnataka) - 560038","Children, Differently Abled, Education & Literacy",BENGALURU URBAN,narjunnagendra@gmail.com,
108,Ark of Heaven Ministries Trust,BKIV-494/2018-19,Trust,"No.58/1, Kaggalipura Colony, Kaggalipura, Bangalore South Taluk, , Bengaluru South, BENGALURU URBAN (Karnataka) - 560082","Art & Culture, Children, Differently Abled, Education & Literacy, Aged/Elderly",BENGALURU URBAN,arkofheavenministries777@gmail.com,
109,ARPANA FOUNDATION,DBR-4/SOR/89/16-17,Society,"795,5TH MAIN,WOC ROAD, NAGAPURA,BANGALORE 560086 , BANGALORE, BENGALURU URBAN (Karnataka) - 560086","Civic Issues, Differently Abled, Education & Literacy, Environment & Forests, Human Rights",ALL,arpanawithu@gmail.com,
110,ARPITA FOUNDATION,KCH-4-00016-2019,Trust,"9sp14, hbr 2nd stage extension, 3rd main road, arabic college post , BANGALORE, BENGALURU URBAN (Karnataka) - 560045","Differently Abled, Education & Literacy, Health & Family Welfare, Skill Development",ALL,arpita.helpline@gmail.com,http://www.arpitafoundation.org/
111,ARTILAB FOUNDATION,U74999KA2017NPL102732,Section 8 Company,"VILLA 115, THE RETREAT, TARABANAHALLI, CHIKKAJALA PO, BANGALORE 562157 , BANGALORE, BENGALURU URBAN (Karnataka) - 562157","Differently Abled, Aged/Elderly, Science & Technology",ALL,smohan@gmail.com,http://www.artilab.org/
112,ARTMA FOUNDATION,BK-IV-614/2019,Trust,"161, Sobha Lavender, off Outer Ring Road, Bellandur , Bangalore, BENGALURU URBAN (Karnataka) - 560103","Differently Abled, Education & Literacy, Aged/Elderly, Environment & Forests, Health & Family Welfare",ALL,devarajan.harish@gmail.com,https://www.artmafoundation.org/
113,ARUN R. CHARANTIMATH FOUNDATION,MLS-4-00329-2012-13,Trust,"No.2/B, 2nd Floor, Doctors Groove Apartment, RMV II Stage, 1st Main Road, Opposite to 10th Cross, Dollars Colony, Bangalore-560094 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560094",Education & Literacy,DHARWAD,mgsomesh@gmail.com,
114,ARYAJANA SEVA TRUST,26336,Trust,"No.18, 12th Cross, 1st Stage, Indiranagara, Bengaluru , Bengaluru East, BENGALURU URBAN (Karnataka) - 560038",Aged/Elderly,BENGALURU URBAN,aryajanasevatrust@gmail.com,
115,AS-SADIQ-UL-AMEEN TRUST,80/2009-2010,Trust,"Coconut Garden, Sadiq Masjid Road, Near Railway Underpass, Hesaraghatta Main Road, Chikkabanavara, Bangalore560090 , Bangalore, BENGALURU URBAN (Karnataka) - 560090","Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children, Civic Issues",ALL,mateen.nadvi@gmail.com,
116,ASCENSION CHURCH,AAATA1740PE20215,Trust,"2nd cross Da Costa Layout St Marys Town Post Bengaluru 560084 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560084","Children, Differently Abled, Education & Literacy, Aged/Elderly, Skill Development",BENGALURU URBAN,ascensionchurchaccts@gmail.com,
117,Asha kirana Educational Trust,Bkiv22/2022-23,Trust,"No 661 Vinayakanagar, Ashrama Road, Hesarghatta , Bengaluru North, BENGALURU URBAN (Karnataka) - 560068","Children, Differently Abled, Disaster Management, Education & Literacy, Aged/Elderly",BENGALURU URBAN,ashakiranaeducationaltrust3@gmail.com,
118,Asha Kirana Seva Trust,424/1995-96,Trust,"Asha Kirana Seva Trust (R) 57/A, 1st Floor, 3rd Cross,Classic County Layout, Komaghatta Main Road, Kengeri Satellite Town, Bengaluru – 560060 , Bangalore, BENGALURU URBAN (Karnataka) - 560056","Agriculture, Animal Husbandry, Dairying & Fisheries, Children, Dalit Upliftment, Differently Abled",ALL,dhshivannareddy@gmail.com,http://ashakiranasevatrust.org/
119,ASHA SCHOOL CENTRE FOR DEVELOPMENTAL DISABILITIES BANGALORE,664/90-91,Society,"Asha School Centre for Developmental disabilities Bangalore Kamaraj Rd, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka , Bengaluru North, BENGALURU URBAN (Karnataka) - 560001","Children, Differently Abled, Education & Literacy, Vocational Training, Skill Development",BENGALURU URBAN,ashaschoolblr@gmail.com,
120,ASHAVRUKSH FOUNDATION,U88900KA2025NPL203328,Section 8 Company,"35/1, DVG LAYOUT, MARAGONDANA HALLI, Krishnarajapuram , Bengaluru North, BENGALURU URBAN (Karnataka) - 560036","Differently Abled, Disaster Management, Education & Literacy, Rural Development & Poverty Alleviation, Animal Welfare",BENGALURU URBAN,avsrinivasan.53@gmail.com,
121,Ashirwad Ashram,BKIV2142012-2013,Trust,"Opp Hennur Police Station Hennur Main Road Kalyan nagar post Bangalore 560043 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560043","Children, Differently Abled, Aged/Elderly, Health & Family Welfare, Minority Issues",BENGALURU URBAN,blessingsagchurch@gmail.com,
122,ASHLESHA FOUNDATION,BNS-4-00687-2024-25,Trust,"36 Reddy Layout K Narayanapura Kothanur Bengaluru , Bengaluru, BENGALURU URBAN (Karnataka) - 560077","Children, Civic Issues, Differently Abled, Drinking Water, Aged/Elderly",ALL,ashleshafoundation@gmail.com,
123,ASHRAYA ASHRAMA,BK IV BNG-BMH 707 2025-26,Trust,"714/4A Sree Virupaksha Devara Mutt, Bidadi Hobli, Bidadi, Byramangala B.O, BANGALORE, Karnataka, INDIA - 562109 , Bengaluru East, BENGALURU URBAN (Karnataka) - 562109","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Aged/Elderly, Animal Welfare",BENGALURU URBAN,info.ashrayaashrama@gmail.com,
124,ASHRAYA FOUNDATION,SRJ-4-00849-2024-25,Trust,"No 44, Sree Bliss County, Kugur, Sarjapura Hobli Anekal Taluk, Bangalore , Sarjapura, BENGALURU URBAN (Karnataka) - 562125","Children, Differently Abled, Education & Literacy, Aged/Elderly, HIV/AIDS",ALL,ashrayafoundaton2025@gmail.com,https://ashrayafoundation.co.in/
125,ASHRAYA KARNATAKA RAJYA STREE SHAKTI SANGHADA SEVASHRAM TRUST,KEN-4-00188-2016-17,Trust,"MUDDAYYANAPALYA, RAMOHALLI POST, TAVAREKAERE HOBLI, BANGALORE SOUTH TALUK, BANGALORE , Bangalore, BENGALURU URBAN (Karnataka) - 560060","Art & Culture, Children, Dalit Upliftment, Differently Abled, Education & Literacy",ALL,prasanth.ckh@gmail.com,
126,ASHWASAN PUBLIC CHARITABLE TRUST,666/2006-2007,Trust,"24/10, BTS Depot Road, Bangalore south , Bengaluru South, BENGALURU URBAN (Karnataka) - 560027","Children, Differently Abled",BENGALURU URBAN,ashwasan@ravishree.in,
127,ASHWINI ANGADI TRUST,BK.IV 401/13-14,Trust,"No.03 Srinidhi Layout Near Janapriya Township Kadabadagere Post Magadi Road Bangalore 560062 , Bangalore, BENGALURU URBAN (Karnataka) - 560062","Differently Abled, Education & Literacy",ALL,rmtumkur@yahoo.in,http://ashwiniangaditrust.org/
128,ASIA MISSION NETWORK FOUNDATION,U88900KA2025NPL207432,Section 8 Company,"SNO-85 AND 86 KHNO-66/3 PROP-65 KRISHNARAJAPURAM , Bengaluru North, BENGALURU URBAN (Karnataka) - 560036","Differently Abled, Education & Literacy, Vocational Training, Skill Development, Religious",BENGALURU URBAN,asiamissionnetwork@gmail.com,
129,Asian Tree Peoples Foundation,RJN-4-00604-2024-25,Trust,"No.178, 69th Cross, 5th Block, Rajajinagar , Bengaluru North, BENGALURU URBAN (Karnataka) - 560010","Children, Aged/Elderly, Environment & Forests, Labour & Employment, Skill Development",BENGALURU URBAN,asiantreepeoplesfoundation@gmail.com,
130,ASR CHARITABLE TRUST,AAITA4698NF20214,Trust,"NO 2, RAJESHWARI NILAYA, 22ND A MAIN ROAD, MARENAHALLI, J P NAGAR 2ND PHASE, , BANGALORE, BENGALURU URBAN (Karnataka) - 560078","Children, Differently Abled, Education & Literacy, HIV/AIDS",ALL,VAGLEES07@gmail.com,
131,ASRAA GARDEN WELFARE TRUST,KCH-4-00043-2025-26,Trust,"No.21/B, 1st Stage, 2nd Block, 9th Cross, Near Mutaqeem Masjid, Kacharakanahalli, Kalyan Nagar Post, Bangalore. , Bengaluru North, BENGALURU URBAN (Karnataka) - 560043","Art & Culture, Drinking Water, Education & Literacy, Health & Family Welfare, Human Rights",BENGALURU URBAN,asraagardenwelfaretrust@gmail.com,
132,ASSEMBLY OF EL-SHADDAI MISSION,SRJ400378201213,Trust,"NO 129/C, SITE NO 19 VENKATASWAMY LAYOUT RAYASANDRA VILLAGE BANGALORE , BANGALORE, BENGALURU URBAN (Karnataka) - 560099","Children, Civic Issues, Differently Abled, Disaster Management, Aged/Elderly",ALL,aemission2012@gmail.com,
133,AssisTech Foundation,U85300KA2019NPL129231,Section 8 Company,"D503, Nandiwoods Apartments, 67/1, Near Meenakshi Temple, Off Bannerghatta Road, Yelenahalli, Begur Hobli, Bengaluru560076 , BANGALORE, BENGALURU URBAN (Karnataka) - 560076","Civic Issues, Differently Abled, Education & Literacy, Aged/Elderly, Labour & Employment",ALL,info@atflabs.org,https://atflabs.org/
134,Assisted Living for Autistic Adults,196/09-10,Trust,"9 Omega avenueMathru Shri layoutMargondanahalli main roadTC Palya KR Puram , Bangalore, BENGALURU URBAN (Karnataka) - 560036","Differently Abled, Aged/Elderly, Vocational Training",ALL,alfaa2010@gmail.com,http://alfaa.org.in/
135,Association for Pre School Education,68/77-78,Trust,"Association for Pre School Education(R), Bala Mano Vikasa Kendra, 98/1, West Park Road, Between 12th , Bangalore, BENGALURU URBAN (Karnataka) - 560003","Children, Differently Abled, Education & Literacy",ALL,bmvk.mvm@gmail.com,
136,ASSOCIATION OF HEADS OF ANGLO-INDIAN SCHOOLS IN KARNATAKA (AHAISK),447/22-23,Trust,"2, Cambridge Layout, Someshwarapura, Ulsoor, HAL 2nd Stage, Bangalore - 560008 , Bengaluru East, BENGALURU URBAN (Karnataka) - 560008","Children, Education & Literacy, Minority Issues",BENGALURU URBAN,ahais.karnataka@gmail.com,
137,ASTHA,DIT(E)BLR/12A/A-1113/AACTA1072,Trust,"No 44 (20) 1st Cross Azadnagar Chamrajpete , Bengaluru, BENGALURU URBAN (Karnataka) - 560018","Differently Abled, Sports",ALL,celebratelife@astha.in,http://www.astha.in/
138,Astha Shakti,BNG(U)BSK68/2014-2015,Trust,"Astha Shakti No 30 Krupa,1st Cross,38th Main Rose Garden,JP Nagar 6th Phase, Bengaluru-560078 , Bengaluru, BENGALURU URBAN (Karnataka)","Children, Dalit Upliftment, Differently Abled, Education & Literacy, Health & Family Welfare",ALL,supportast@asthashakti.co.in,http://www.asthashakti.co.in/
139,ATHMAA SOCIAL AND WELFARE TRUST,JPN-4-00333-2020-21,Trust,"NO 8, 2ND MAIN, NOBO NAGAR, COCONUT GARDEN, NEAR MEENAKSHI TEMPLE, B G ROAD , BANGALORE, BENGALURU URBAN (Karnataka) - 560076","Differently Abled, Education & Literacy",ALL,athmaa.trust@gmail.com,https://www.athmaa.com/
140,Atijeevan Society,DRO/SJN/SOR/256/13-14,Society,"b209, Keerthi riviera 6th cross kaggadaspura c v raman nagar . bangalore 560093 , Bengaluru East, BENGALURU URBAN (Karnataka) - 560093","Differently Abled, Education & Literacy, Health & Family Welfare",BENGALURU URBAN,pragyaprasunsingh@gmail.com,
141,Atmanirbhara Hindu Trust,SHR-4-00048-2025-26,Trust,"No 45, 10th Cross, Park Area, 2nd Main, Near 10th Cross Bus Stand, Wilson Garden, Bengaluru 560027 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560027","Differently Abled, Disaster Management, Education & Literacy, Human Rights, Micro Finance (SHGs)",BENGALURU URBAN,lsrinatha26@gmail.com,
142,AUMANITY TRUST,BNS-4-00244-2025-26,Trust,"No-140, Lakshmi Nivasam, 2nd Avenue, Teachers Colony, Jakkasanndra, 1st Block, Kormangala, HSR Layout, 5th Sector, Bangalore-560102 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560102","Differently Abled, Education & Literacy, Health & Family Welfare, Skill Development",BENGALURU URBAN,vikram.balgar1@gmail.com,
143,AURUM CHARITABLE TRUST,851/24-25,Trust,"No. 4, 12th Cross, Next to RMV Hospital, AECS Layout, Sanjay Nagar, RMV Extension 2nd Stage, , Bengaluru North, BENGALURU URBAN (Karnataka) - 560094","Education & Literacy, Aged/Elderly, Environment & Forests, Health & Family Welfare",BENGALURU URBAN,aurumcharitabletrust@gmail.com,
144,AUTISM FOR HELP VILLAGE PROJECT TRUST,HLS-4-00196-2010-11,Trust,"No. 95 ,1st floor, Best county 3, Itc Colony, Cox Town, Jeevanahalli, Bangalore 560005 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560005","Children, Differently Abled, Health & Family Welfare",BENGALURU URBAN,terrestrian@gmail.com,
145,AUTISM SPECIALIST LEARNING FOUNDATION,U85213KA2025NPL199609,Section 8 Company,"40,6th F Main,3rd A Cross, Gourawanagar, J P Nagar,7, J P Nagar, Bangalore, Bangalore South, Karnataka, India, 560078 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560078",Differently Abled,BENGALURU URBAN,susi.sound@gmail.com,
